timestamp,symbol,candidate_direction,primary_blocker,potential_score,actual_score,lost_score,entry,atr,reason
2026-07-02T10:56:28.462258+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61263.9,508.661753,Momentum blocked near-actionable setup.
2026-07-02T10:56:29.181232+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1646.43,15.029812,Momentum blocked near-actionable setup.
2026-07-02T10:58:02.477250+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61263.9,508.661753,Momentum blocked near-actionable setup.
2026-07-02T10:58:03.192830+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1646.43,15.029812,Momentum blocked near-actionable setup.
2026-07-02T11:01:37.670260+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:01:38.486150+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:03:06.399190+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:03:07.119076+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:04:19.654472+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:04:20.475987+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:09:23.484484+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:09:24.561957+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:14:28.179378+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:14:29.005917+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:19:32.009014+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:19:32.875337+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:24:35.717037+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:24:36.529369+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:29:40.019352+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:29:41.178614+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:34:44.584272+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:34:45.304784+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:39:49.410962+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:39:50.242749+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:43:45.403727+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:43:46.163810+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:45:36.315450+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:45:37.079422+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:50:40.244667+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:50:41.103137+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T11:55:44.455813+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61351.7,490.871628,Momentum blocked near-actionable setup.
2026-07-02T11:55:45.238437+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1650.48,14.701254,Momentum blocked near-actionable setup.
2026-07-02T12:00:49.744169+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
2026-07-02T12:00:50.574605+00:00,ETH/USDT,SHORT,Momentum,23.4,0.0,2.4,1661.93,15.244022,Momentum blocked near-actionable setup.
2026-07-02T12:05:53.911726+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
2026-07-02T12:05:54.797436+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1661.93,15.244022,Momentum blocked near-actionable setup.
2026-07-02T12:10:58.003158+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
2026-07-02T12:10:58.956063+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1661.93,15.244022,Momentum blocked near-actionable setup.
2026-07-02T12:16:02.615743+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
2026-07-02T12:16:03.715910+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1661.93,15.244022,Momentum blocked near-actionable setup.
2026-07-02T12:21:07.320411+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
2026-07-02T12:21:08.965205+00:00,ETH/USDT,SHORT,Momentum,23.6,0.0,1.6,1661.93,15.244022,Momentum blocked near-actionable setup.
2026-07-02T12:24:28.846053+00:00,BTC/USDT,SHORT,Momentum,23.4,0.0,2.4,61429.9,487.73794,Momentum blocked near-actionable setup.
